Fiyat,Lokasyon,m2,Oda,Tarih
15.000 TL,AtakentAtatepe,55,1+1,24 Aralık  2025
18.750 TL,AtakentYenimahalle Mah.,55,1+1,24 Aralık  2025
25.000 TL,AtakentYenimahalle Mah.,55,1+1,24 Aralık  2025
50.000 TL,KurupelitKörfez Mh.,150,3+1,24 Aralık  2025
60.000 TL,AtakentYenimahalle Mah.,195,2+2,24 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,53,1+1,24 Aralık  2025
20.500 TL,AtakumMevlana Mah.,135,3+1,24 Aralık  2025
29.000 TL,AtakentYenimahalle Mah.,80,2+1,24 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,65,1+1,24 Aralık  2025
12.750 TL,KöylerBüyükkolpınar Mh.,65,1+1,24 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,62,1+1,24 Aralık  2025
11.000 TL,Altınkumİncesu Yalı Mh.,50,1+1,24 Aralık  2025
40.000 TL,AtakumBeypınar Mh.,200,4+1,24 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,70,1+1,24 Aralık  2025
40.000 TL,AtakentGüzelyalı Mh.,98,2+1,24 Aralık  2025
17.350 TL,KurupelitKörfez Mh.,60,1+1,24 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,60,1+1,26 Aralık  2025
12.500 TL,AtakentAtakent Mh.,55,1+1,24 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,60,1+1,24 Aralık  2025
19.000 TL,KöylerBüyükoyumca Mh.,52,1+1,24 Aralık  2025
25.000 TL,AtakumMevlana Mah.,94,2+1,24 Aralık  2025
25.000 TL,KöylerBalaç Mh.,80,2+1,24 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,50,1+1,26 Aralık  2025
14.950 TL,AtakumDenizevleri Mah.,105,2+1,18 Aralık  2025
9.900 TL,KurupelitKörfez Mh.,50,1+1,24 Aralık  2025
15.500 TL,KöylerBüyükoyumca Mh.,150,3+1,24 Aralık  2025
15.250 TL,KurupelitKörfez Mh.,52,1+1,24 Aralık  2025
25.000 TL,AtakumEsenevler Mah.,105,2+1,24 Aralık  2025
14.900 TL,KurupelitKörfez Mh.,53,1+1,24 Aralık  2025
10.000 TL,AtakumMevlana Mah.,55,1+1,17 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,24 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,60,1+1,24 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,24 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,60,1+1,24 Aralık  2025
25.000 TL,AtakentYenimahalle Mah.,100,2+1,24 Aralık  2025
19.000 TL,KöylerBüyükoyumca Mh.,55,1+1,24 Aralık  2025
14.500 TL,AtakentAtakent Mh.,140,3+1,24 Aralık  2025
24.000 TL,AtakumCumhuriyet Mah.,130,3+1,24 Aralık  2025
13.500 TL,AtakentAtakent Mh.,48,1+1,24 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,50,1+1,24 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,50,1+1,25 Aralık  2025
13.500 TL,Altınkumİncesu Yalı Mh.,50,1+1,24 Aralık  2025
14.500 TL,AtakumCumhuriyet Mah.,155,3+1,24 Aralık  2025
22.500 TL,KurupelitKörfez Mh.,135,3+1,24 Aralık  2025
